Nom,Revenu,Loyer,Type_Emploi,Paiements_A_Temps,Retards,Duree_Moyenne_Retard,Paiement_Fractionne,Duree_Location,Conflits
Locataire_0,181755,64628,CDI,11,1,0,Oui,19,Non
Locataire_1,234526,86501,CDI,5,7,12,Non,33,Non
Locataire_2,349626,102455,Informel,7,5,11,Non,31,Non
Locataire_3,271083,108395,CDI,8,4,1,Non,32,Non
Locataire_4,561754,221400,CDD,12,0,0,Non,23,Non
Locataire_5,932712,268543,Indépendant,12,0,0,Non,36,Non
Locataire_6,622327,223346,CDD,5,7,3,Non,10,Non
Locataire_7,737230,230559,CDI,1,11,10,Non,17,Non
Locataire_8,674832,180322,Indépendant,0,12,11,Oui,22,Oui
Locataire_9,601423,277300,CDD,7,5,6,Oui,21,Non
Locataire_10,783521,192182,CDI,8,4,19,Non,5,Non
Locataire_11,721133,56075,CDI,9,3,8,Oui,19,Non
Locataire_12,337396,65540,Indépendant,0,12,15,Non,6,Non
Locataire_13,397960,235692,CDI,0,12,14,Non,31,Non
Locataire_14,377451,179046,CDI,8,4,14,Non,7,Non
Locataire_15,908609,249327,CDI,8,4,1,Non,17,Non
Locataire_16,325848,229656,CDD,2,10,16,Non,24,Non
Locataire_17,305249,264527,Indépendant,2,10,11,Non,14,Non
Locataire_18,261871,113519,CDI,2,10,15,Non,15,Non
Locataire_19,675223,194371,Informel,4,8,16,Non,24,Oui
Locataire_20,580257,214729,Informel,6,6,12,Non,33,Non
Locataire_21,276032,162134,CDI,1,11,15,Oui,28,Non
Locataire_22,813606,222998,CDD,2,10,18,Non,28,Non
Locataire_23,421339,202883,CDI,4,8,13,Non,7,Non
Locataire_24,231194,88546,Informel,10,2,1,Oui,6,Oui
Locataire_25,402383,184856,CDI,5,7,18,Non,12,Non
Locataire_26,657361,287087,Informel,1,11,5,Non,5,Non
Locataire_27,904968,168786,CDI,10,2,18,Non,26,Non
Locataire_28,523640,227863,CDI,2,10,15,Oui,8,Non
Locataire_29,525957,113712,Informel,6,6,20,Non,21,Non
Locataire_30,828635,290390,CDI,9,3,16,Oui,10,Non
Locataire_31,936433,196491,CDI,3,9,17,Non,32,Non
Locataire_32,162536,227311,CDI,6,6,3,Non,5,Non
Locataire_33,180754,143418,CDD,0,12,16,Non,29,Non
Locataire_34,584924,59589,CDI,5,7,16,Oui,18,Non
Locataire_35,422078,272675,CDI,6,6,11,Non,5,Oui
Locataire_36,256842,175532,CDI,1,11,1,Non,24,Non
Locataire_37,552955,229545,CDI,9,3,9,Oui,12,Non
Locataire_38,786624,165647,CDI,8,4,20,Non,12,Non
Locataire_39,455059,185324,Informel,0,12,20,Oui,16,Non
Locataire_40,376630,72806,Indépendant,10,2,20,Oui,18,Non
Locataire_41,230388,155799,CDI,5,7,18,Non,7,Non
Locataire_42,493167,165899,CDD,7,5,17,Oui,30,Non
Locataire_43,993176,275570,Indépendant,3,9,20,Non,4,Non
Locataire_44,158855,200814,Indépendant,6,6,10,Non,10,Non
Locataire_45,839446,286787,Indépendant,8,4,18,Non,4,Non
Locataire_46,318301,266694,CDD,8,4,7,Non,5,Non
Locataire_47,560419,242849,CDD,8,4,9,Non,7,Non
Locataire_48,625041,221679,Informel,8,4,0,Non,33,Oui
Locataire_49,796044,163165,Indépendant,0,12,1,Non,31,Non
Locataire_50,591903,178594,CDD,10,2,19,Oui,13,Non
Locataire_51,367454,59880,Informel,9,3,6,Non,4,Non
Locataire_52,637579,241574,CDI,10,2,18,Non,23,Non
Locataire_53,855249,252420,CDI,8,4,1,Oui,10,Non
Locataire_54,184931,92496,CDD,9,3,14,Non,16,Non
Locataire_55,188061,217472,CDI,5,7,10,Non,32,Non
Locataire_56,420307,176250,CDI,5,7,17,Oui,26,Non
Locataire_57,763137,206105,Informel,7,5,10,Oui,7,Non
Locataire_58,156164,212469,CDD,7,5,1,Non,28,Non
Locataire_59,561517,86912,CDI,5,7,20,Non,26,Non
Locataire_60,339915,167803,CDD,8,4,14,Non,4,Non
Locataire_61,907355,257001,CDD,4,8,16,Non,26,Non
Locataire_62,343683,133979,Informel,5,7,2,Non,26,Oui
Locataire_63,305231,122378,CDI,0,12,16,Non,13,Oui
Locataire_64,288345,246006,Indépendant,4,8,5,Non,35,Oui
Locataire_65,873229,174781,Indépendant,3,9,11,Oui,15,Oui
Locataire_66,152388,210948,Informel,11,1,5,Non,11,Oui
Locataire_67,819005,248249,Indépendant,1,11,3,Oui,8,Non
Locataire_68,686511,167196,CDD,12,0,0,Oui,19,Non
Locataire_69,192473,101172,CDD,3,9,11,Non,11,Non
Locataire_70,678089,145723,CDI,1,11,8,Non,31,Non
Locataire_71,783548,213667,CDD,9,3,17,Oui,16,Non
Locataire_72,922433,180435,Informel,6,6,3,Non,16,Non
Locataire_73,175668,294759,CDI,7,5,9,Non,10,Non
Locataire_74,491427,161777,CDD,3,9,1,Non,19,Non
Locataire_75,609498,87352,Indépendant,6,6,0,Non,9,Non
Locataire_76,429818,77023,CDD,3,9,13,Oui,17,Non
Locataire_77,783540,190603,CDD,8,4,19,Oui,13,Non
Locataire_78,162096,245000,CDD,9,3,4,Non,12,Non
Locataire_79,614390,119895,CDI,11,1,15,Non,5,Non
Locataire_80,297011,253997,CDI,6,6,0,Non,7,Non
Locataire_81,641400,122767,Informel,9,3,6,Non,26,Non
Locataire_82,828505,70156,CDD,3,9,0,Non,14,Non
Locataire_83,851322,199255,Informel,2,10,11,Oui,24,Non
Locataire_84,851047,199640,CDI,10,2,12,Non,7,Non
Locataire_85,514997,69662,CDD,8,4,20,Non,16,Non
Locataire_86,394504,282962,Indépendant,2,10,6,Non,12,Non
Locataire_87,228439,230531,CDI,12,0,0,Oui,29,Non
Locataire_88,771698,69009,CDI,0,12,3,Non,26,Non
Locataire_89,389890,70343,CDI,2,10,1,Non,5,Non
Locataire_90,996798,217944,CDD,6,6,17,Non,20,Non
Locataire_91,432082,144537,CDD,6,6,11,Non,24,Non
Locataire_92,736888,158370,CDD,1,11,9,Non,12,Oui
Locataire_93,703680,181495,CDD,11,1,19,Non,26,Non
Locataire_94,680593,147515,CDI,10,2,12,Oui,26,Non
Locataire_95,879195,262982,CDI,8,4,10,Non,9,Non
Locataire_96,811714,128258,CDI,6,6,1,Non,14,Non
Locataire_97,798628,58125,CDI,10,2,20,Non,28,Non
Locataire_98,831230,181658,Informel,11,1,13,Oui,35,Non
Locataire_99,435111,186590,CDI,5,7,18,Non,27,Non
